"facultyName","subjectName","courseLetters","courseNumbers","courseTitle","courseSummary"
"Augustana Faculty","Augustana Faculty - Accounting","AUACC","311","Introductory Accounting","Postulates, principles, the accounting cycle, capital and income measurement, financial statement preparation and analysis; emphasis on reporting to shareholders, creditors, and other external decision makers. Prerequisites: AUECO 101, 102, and basic familiarity with microcomputer applications."
"Augustana Faculty","Augustana Faculty - Accounting","AUACC","322","Managerial Accounting","Designed to help managers assess needed information to carry out three essential functions in an organization: planning operations, controlling activities, and making decisions. The emphasis of this course is on cost behaviors, various product costing methods, cost-volume-profit relationships, budgeting and control through standard costs, and other quantitative techniques used by management. Prerequisite: AUACC 311."
"Augustana Faculty","Augustana Faculty - Art","AUART","101","Introduction to the History of Art I","Introduction to the history of art from the Prehistoric Age to the end of the Renaissance."
"Augustana Faculty","Augustana Faculty - Art","AUART","102","Introduction to the History of Art II","Introduction to the history of art from the Renaissance to the present."
"Augustana Faculty","Augustana Faculty - Art","AUART","103","Caves to Skyscrapers: The Built Environment","Introduction to the history of the built environment from the Prehistoric age to the present."
"Augustana Faculty","Augustana Faculty - Art","AUART","111","Studio Foundation I","Art-making is explored with basic techniques in drawing and color media. The visual language of perception and expression is introduced using principles of composition. Aesthetic and psychological principles of visual organization are applied to elements of line, shape, colour, and texture."
"Augustana Faculty","Augustana Faculty - Art","AUART","112","Studio Foundation II - 3-D and Colour Theory","Further exploration of art-making in two and three dimensions. Visual structure is investigated expressively and technically in sculpture processes and paint media. Development of personal creativity and a basis for compositional analysis are included. Prerequisite: AUART 111, or Art 30 equivalence with consent of the instructor (based on portfolio submission). Note: Credit may be obtained for only one of AUART 112 and 113."
"Augustana Faculty","Augustana Faculty - Art","AUART","215","Sculpture I","Introduction to principles of composition and practice in 3-dimensional art. Historical and contemporary issues are explored. Prerequisite: Second year standing. Requires payment of additional student instructional support fees.  Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Art","AUART","223","Canadian Art","Survey of the visual arts in Canada, from the indigenous beginnings to the present, with emphasis on the twentieth century."
"Augustana Faculty","Augustana Faculty - Art","AUART","224","Art and Its Histories","Study of works, movements, theories and institutions of art with an emphasis on contemporary art and recent approaches to the study and analysis of art works. It examines painting, sculpture, architecture, photography, graphic and applied art."
"Augustana Faculty","Augustana Faculty - Art","AUART","231","Drawing I","Introductory course that develops basic skills of perception and recording as they apply to the practice of drawing. Historical and contemporary practices are explored primarily on the basis of direct observation of still life, landscape, and architecture. Issues in composition, expression, critical analysis, and technique using monochromatic media are included. Prerequisite: Second year standing, or Art 30, or consent of the instructor (based on portfolio submission). Requires payment of additional student instructional support fees.  Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Art","AUART","232","Drawing II","Further exploration of drawing practice with the application of observational and conceptual skills to issues of expression and composition. Figure drawing, including anatomy, perceptual considerations, and the expressive potential of the human figure, is introduced. The use of colour media, the development of a personal aesthetic response, as well as critical analysis are included. Prerequisite: Second year standing. Requires payment of additional student instructional support fees. Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Art","AUART","260","Selected Topics in Art History","Selected topics in Art History possibly, but not necessarily, linked to a course that would later visit sites of art and visual culture. Note: Credit may be obtained for only one of AUART 260 or AUCLA 193, 293."
"Augustana Faculty","Augustana Faculty - Art","AUART","261","Selected Topics in Art History","Selected topics in Art History possibly, but not necessarily, linked to a course that would later visit sites of art and visual culture."
"Augustana Faculty","Augustana Faculty - Art","AUART","262","Selected Topics in Art History","Selected topics in Art History possibly, but not necessarily, linked to a course that would later visit sites of art and visual culture."
"Augustana Faculty","Augustana Faculty - Art","AUART","265","Selected Topics in Art History Tour","Tour course following the selected topics course to which it is linked. The tour visits art sites discussed in that course. Requires payment of additional student instructional support fees. Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Art","AUART","271","Painting I","Painting from the ground up. The course introduces painting technique and colour usage in acrylic and/or oil media. Perceptual and conceptual problems are based on historical and contemporary practices with an emphasis on personal creativity. Critical analysis of art is a component. Prerequisites: Second year standing. Requires payment of additional student instructional support fees. Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Art","AUART","272","Painting II","Further exploration of painting practice using oil and acrylic painting techniques. Critical analysis is included. Varieties of conceptual contexts and individual expressive directions are investigated. Prerequisite: AUART 271 or consent of the instructor (based on portfolio submission).  Requires payment of additional student instructional support fees.  Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Art","AUART","289","Studies in Visual Culture","Selected topics in the history of visual culture that are organized thematically rather than by period, nationality or style. Prerequisite: Second-year standing."
"Augustana Faculty","Augustana Faculty - Art","AUART","298","Selected Topics in Art Studio","Selected topics in art studio practice that are theme or media based. Prerequisite: Second year standing. Notes: AUART 298 does not count towards any major or minor in Art."
"Augustana Faculty","Augustana Faculty - Art","AUART","331","Drawing III","Intermediate drawing further develops techniques and concepts of drawing with a focus on contemporary practices leading to self-initiated projects. Prerequisite: AUART 231. Requires payment of additional student instructional support fees.  Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Art","AUART","371","Painting III","Intermediate painting further develops techniques and concepts of painting with a focus on contemporary practices leading to self-initiated projects. Prerequisite: AUART 272. Requires payment of additional student instructional support fees.  Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar."
"Augustana Faculty","Augustana Faculty - Art","AUART","380","Directed Reading in Art History","Individual study project for the advanced art history student. Note: An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Art","AUART","411","Visual Explorations","Advanced studies in a studio discipline with individualized programs designed in collaboration with the instructor. Direction is guided by issues in contemporary practice and thought. Prerequisites: AUART 331 and one of 215, 371."
"Augustana Faculty","Augustana Faculty - Art","AUART","480","Directed Reading in Art History","Individual study project for the highly advanced art history student. Note: An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Art","AUART","490","Directed Project in Visual Explorations","Individual study course for the highly advanced  studio art student. A selected theme in two- or three-dimensional expression is explored intensively. Note: An ""Application for Individual Study"" must be completed and approved before registration in the course."
"Augustana Faculty","Augustana Faculty - Biology","AUBIO","108","Introduction to Marine Biology","Introduction to the diversity of marine ecosystems and the adaptations of marine organisms to their environment. Notes: The course does not count toward the major, concentration, or minor in Biology. The course is available only as part of the Augustana-in-Cuba Program."
